freq,unit,na_item,geo,time,value
A,CP_PPS_EU27_2020_HAB,P41,EL,2019,16372.1
A,CP_PPS_EU27_2020_HAB,P41,EL,2020,15474.7
A,CP_PPS_EU27_2020_HAB,P41,EL,2021,16771.9
A,CP_PPS_EU27_2020_HAB,P41,EL,2022,19402.0
A,CP_PPS_EU27_2020_HAB,P41,EL,2023,20701.1
A,CP_PPS_EU27_2020_HAB,P41,EL,2024,21309.9
A,CP_PPS_EU27_2020_HAB,P41,ES,2015,17581.9
A,CP_PPS_EU27_2020_HAB,P41,ES,2016,18045.3
A,CP_PPS_EU27_2020_HAB,P41,ES,2017,18938.2
A,CP_PPS_EU27_2020_HAB,P41,ES,2018,19208.8
A,CP_PPS_EU27_2020_HAB,P41,ES,2019,19626.2
A,CP_PPS_EU27_2020_HAB,P41,ES,2020,17386.0
A,CP_PPS_EU27_2020_HAB,P41,ES,2021,19479.0
A,CP_PPS_EU27_2020_HAB,P41,ES,2022,21735.1
A,CP_PPS_EU27_2020_HAB,P41,ES,2023,23349.0
A,CP_PPS_EU27_2020_HAB,P41,ES,2024,24394.9
A,CP_PPS_EU27_2020_HAB,P41,FI,2015,21426.5
A,CP_PPS_EU27_2020_HAB,P41,FI,2016,21668.6
A,CP_PPS_EU27_2020_HAB,P41,FI,2017,22078.3
A,CP_PPS_EU27_2020_HAB,P41,FI,2018,22644.7
A,CP_PPS_EU27_2020_HAB,P41,FI,2019,22902.2
A,CP_PPS_EU27_2020_HAB,P41,FI,2020,22799.5
A,CP_PPS_EU27_2020_HAB,P41,FI,2021,24376.2
A,CP_PPS_EU27_2020_HAB,P41,FI,2022,25703.8
A,CP_PPS_EU27_2020_HAB,P41,FI,2023,27599.2
A,CP_PPS_EU27_2020_HAB,P41,FI,2024,28516.3
A,CP_PPS_EU27_2020_HAB,P41,FR,2015,20603.5
A,CP_PPS_EU27_2020_HAB,P41,FR,2016,20943.3
A,CP_PPS_EU27_2020_HAB,P41,FR,2017,21396.0
A,CP_PPS_EU27_2020_HAB,P41,FR,2018,21964.4
