freq,unit,mot_nrg,geo,time,value
A,NR,DIE_X_HYB,IE,2022,29803
A,NR,DIE_X_HYB,IE,2023,29503
A,NR,DIE_X_HYB,IE,2024,30320
A,NR,DIE_X_HYB,IT,2015,887074
A,NR,DIE_X_HYB,IT,2016,1058886
A,NR,DIE_X_HYB,IT,2017,1130434
A,NR,DIE_X_HYB,IT,2018,1000494
A,NR,DIE_X_HYB,IT,2019,779857
A,NR,DIE_X_HYB,IT,2020,485245
A,NR,DIE_X_HYB,IT,2021,343952
A,NR,DIE_X_HYB,IT,2022,261466
A,NR,DIE_X_HYB,IT,2023,275753
A,NR,DIE_X_HYB,IT,2024,221402
A,NR,DIE_X_HYB,LT,2015,7690
A,NR,DIE_X_HYB,LT,2016,7587
A,NR,DIE_X_HYB,LT,2017,7865
A,NR,DIE_X_HYB,LT,2018,7210
A,NR,DIE_X_HYB,LT,2019,7260
A,NR,DIE_X_HYB,LT,2020,7037
A,NR,DIE_X_HYB,LT,2021,3806
A,NR,DIE_X_HYB,LT,2022,2389
A,NR,DIE_X_HYB,LT,2023,2739
A,NR,DIE_X_HYB,LT,2024,3868
A,NR,DIE_X_HYB,LU,2015,32867
A,NR,DIE_X_HYB,LU,2016,32713
A,NR,DIE_X_HYB,LU,2017,28461
A,NR,DIE_X_HYB,LU,2018,24761
A,NR,DIE_X_HYB,LU,2019,23022
A,NR,DIE_X_HYB,LU,2020,16628
A,NR,DIE_X_HYB,LU,2021,11194
A,NR,DIE_X_HYB,LU,2022,9236
A,NR,DIE_X_HYB,LU,2023,7482
A,NR,DIE_X_HYB,LU,2024,5749
A,NR,DIE_X_HYB,LV,2015,6923
A,NR,DIE_X_HYB,LV,2016,7287
A,NR,DIE_X_HYB,LV,2017,7445
A,NR,DIE_X_HYB,LV,2018,6807
A,NR,DIE_X_HYB,LV,2019,6893
A,NR,DIE_X_HYB,LV,2020,4870
A,NR,DIE_X_HYB,LV,2021,3923
A,NR,DIE_X_HYB,LV,2022,2606
A,NR,DIE_X_HYB,LV,2023,2700
A,NR,DIE_X_HYB,LV,2024,2518
A,NR,DIE_X_HYB,MT,2015,2709
A,NR,DIE_X_HYB,MT,2016,2601
A,NR,DIE_X_HYB,MT,2017,2613
A,NR,DIE_X_HYB,MT,2018,2409
A,NR,DIE_X_HYB,MT,2019,2074
A,NR,DIE_X_HYB,MT,2020,1036
A,NR,DIE_X_HYB,MT,2021,528
A,NR,DIE_X_HYB,MT,2022,406
A,NR,DIE_X_HYB,MT,2023,623
A,NR,DIE_X_HYB,MT,2024,301
A,NR,DIE_X_HYB,NL,2019,32685
A,NR,DIE_X_HYB,NL,2020,12963
A,NR,DIE_X_HYB,NL,2021,6920
